Topic,Source URL
Salsify_Syndication,https://www.salsify.com/pxm/syndication
Salsify_Network,https://www.salsify.com/pxm-network/syndication-network
Salsify_Marketplace,https://www.salsify.com/platform/marketplace
inRiver_PIM_Features,https://www.inriver.com/resources/pim-features/
inRiver_Media_Mgmt,https://community.inriver.com/hc/en-us/articles/360012280773-Media-management
Akeneo_Data_Quality,https://help.akeneo.com/serenity-your-first-steps-with-akeneo/serenity-understand-data-quality
SalesLayer_QualityScore,https://www.saleslayer.com/features/product-toolkit
Syndigo_GDSN,https://syndigo.com/gdsn/
Syndigo_PIM,https://syndigo.com/product-information-management/
1WorldSync_GDSN,https://1worldsync.com/platform/syndication/gdsn/
Icecat_OCI,https://icecat.biz/en/menu/channelpim
Bluestone_Features,https://www.bluestonepim.com/features-overview
SAP_MDG_Features,https://www.sap.com/products/data-cloud/master-data-governance/features.html
Informatica_P360,https://www.informatica.com/products/master-data-management/product-information-management.html
Oracle_ProductHub,https://docs.oracle.com/en/industries/energy-water/cloud-integrations/22c/wacs-erp-configuration-guide/WACS-ERP-CONFIGURATION-GUIDE-22C/WAM-ERP_Config_ERP.05.2.html
Pimcore_BrandPortals,https://pimcore.com/en/products/product-information-management/brand-portals
Pimberly_Basics,https://pimberly.com/resources/pimberly-101/
Catsy_BrandPortals,https://catsy.com/blog/brand-portals/
PIMworks_Home,https://www.pimworks.io/
Perfion_Home,https://perfion.boyum-solutions.com/
DynamicWeb_PIM,https://dynamicweb.com/products/product-information-management
Stibo_MDM,https://www.stibosystems.com/